timestamp,open_1d,high_1d,low_1d,close_1d,volume_1d,open_4h,high_4h,low_4h,close_4h,volume_4h,open_1h,high_1h,low_1h,close_1h,volume_1h
2025-02-01 12:00:00,,,,,,6.4,6.4044,6.1849,6.2253,34101.35636359,,,,,
2025-02-01 16:00:00,,,,,,6.226,6.2589,6.0534,6.089,86060.71805027,,,,,
2025-02-01 20:00:00,,,,,,6.0897,6.0906,5.9122,5.9122,74512.23097278,,,,,
2025-02-02 00:00:00,5.9083,6.042,4.8849,5.1529,746963.17528584,5.9083,6.042,5.7088,5.7119,40705.1365388,,,,,
2025-02-02 04:00:00,,,,,,5.7219,5.8749,5.704,5.8078,39474.36399519,,,,,
2025-02-02 08:00:00,,,,,,5.8032,5.9063,5.6164,5.6365,73224.99107086,,,,,
2025-02-02 12:00:00,,,,,,5.621,5.7295,5.5621,5.6444,96622.57051626,,,,,
2025-02-02 16:00:00,,,,,,5.6444,5.6444,5.0859,5.295,274751.15824407,,,,,
2025-02-02 20:00:00,,,,,,5.2751,5.3598,4.8849,5.1529,222184.95492066,,,,,
2025-02-03 00:00:00,5.1544,5.2766,3.8004,5.185,2215605.91830982,5.1544,5.1544,3.8004,4.3402,892465.47010571,,,,,
2025-02-03 04:00:00,,,,,,4.3299,4.7172,4.1386,4.7116,553211.83533378,,,,,
2025-02-03 08:00:00,,,,,,4.6981,4.789,4.5214,4.6877,300054.14855123,,,,,
2025-02-03 12:00:00,,,,,,4.6973,4.9483,4.4935,4.928,239102.42341033,,,,,
2025-02-03 16:00:00,,,,,,4.9232,5.1847,4.8766,5.1802,130471.83548061,,,,,
2025-02-03 20:00:00,,,,,,5.1699,5.2766,5.0,5.185,100300.20542816,,,,,
2025-02-04 00:00:00,5.1851,5.2324,4.58,4.7436,1145045.69596647,5.1851,5.2324,5.0024,5.0376,94663.83608392,,,,,
2025-02-04 04:00:00,,,,,,5.0381,5.0588,4.6371,4.6465,421897.62363661,,,,,
2025-02-04 08:00:00,,,,,,4.6614,4.8959,4.6362,4.7773,132441.54074501,,,,,
2025-02-04 12:00:00,,,,,,4.7825,4.9208,4.7345,4.7955,163070.89653993,,,,,
2025-02-04 16:00:00,,,,,,4.8048,4.947,4.7462,4.7462,83438.13294624,,,,,
2025-02-04 20:00:00,,,,,,4.7519,4.797,4.58,4.7436,249533.66601476,,,,,
2025-02-05 00:00:00,4.7453,4.866,4.6332,4.688,348052.33947428,4.7453,4.7961,4.695,4.7432,33911.29319766,,,,,
2025-02-05 04:00:00,,,,,,4.7427,4.8049,4.6974,4.7539,27134.38302086,,,,,
2025-02-05 08:00:00,,,,,,4.7491,4.826,4.7036,4.826,67912.6338665,,,,,
2025-02-05 12:00:00,,,,,,4.826,4.866,4.731,4.8179,34933.16541099,,,,,
2025-02-05 16:00:00,,,,,,4.8132,4.8265,4.6332,4.7648,67460.38955822,,,,,
2025-02-05 20:00:00,,,,,,4.7652,4.7873,4.6419,4.688,116700.47442005,,,,,
2025-02-06 00:00:00,4.6852,4.8347,4.4384,4.4884,353882.68950308,4.6852,4.7776,4.6683,4.7584,20161.03879506,,,,,
2025-02-06 04:00:00,,,,,,4.759,4.8347,4.7417,4.7799,27437.70289298,,,,,
2025-02-06 08:00:00,,,,,,4.7825,4.8202,4.7226,4.7558,19435.81082,,,,,
2025-02-06 12:00:00,,,,,,4.7572,4.7593,4.494,4.5326,119617.41355612,,,,,
2025-02-06 16:00:00,,,,,,4.5294,4.5972,4.47,4.5096,80331.96794489,,,,,
2025-02-06 20:00:00,,,,,,4.4955,4.5876,4.4384,4.4884,86898.75549403,,,,,
2025-02-07 00:00:00,4.4908,4.9405,4.4585,4.5912,428466.65490832,4.4908,4.6249,4.4908,4.5818,18737.48649204,,,,,
2025-02-07 04:00:00,,,,,,4.5833,4.6171,4.5103,4.5867,26951.22943495,,,,,
2025-02-07 08:00:00,,,,,,4.585,4.731,4.5708,4.7161,33371.21151043,,,,,
2025-02-07 12:00:00,,,,,,4.717,4.9405,4.6916,4.8318,168635.45158432,,,,,
2025-02-07 16:00:00,,,,,,4.8357,4.8357,4.6725,4.6808,64744.28035327,,,,,
2025-02-07 20:00:00,,,,,,4.682,4.682,4.4585,4.5912,116026.99553331,,,,,
2025-02-08 00:00:00,4.5866,4.7601,4.5061,4.7515,221506.58200089,4.5866,4.6502,4.5605,4.5726,49878.80867256,,,,,
2025-02-08 04:00:00,,,,,,4.5648,4.6267,4.5061,4.6037,29366.91524674,,,,,
2025-02-08 08:00:00,,,,,,4.6059,4.6138,4.509,4.539,22443.83014953,,,,,
2025-02-08 12:00:00,,,,,,4.539,4.6222,4.5092,4.5655,54946.36390068,,,,,
2025-02-08 16:00:00,,,,,,4.5695,4.6752,4.5506,4.6645,39991.82824546,,,,,
2025-02-08 20:00:00,,,,,,4.6682,4.7601,4.6502,4.7515,24878.83578592,,,,,
2025-02-09 00:00:00,4.7448,4.9,4.5164,4.7651,329651.40182751,4.7448,4.8413,4.7152,4.8255,32269.3528013,,,,,
2025-02-09 04:00:00,,,,,,4.8238,4.8238,4.716,4.7936,37354.0855424,,,,,
2025-02-09 08:00:00,,,,,,4.7989,4.9,4.7623,4.8031,84727.67288093,,,,,
2025-02-09 12:00:00,,,,,,4.7968,4.8421,4.6953,4.7992,36464.85705369,,,,,
2025-02-09 16:00:00,,,,,,4.802,4.8492,4.7165,4.7302,39676.80546022,,,,,
2025-02-09 20:00:00,,,,,,4.7302,4.7787,4.5164,4.7651,99158.62808897,,,,,
2025-02-10 00:00:00,4.765,4.9186,4.6117,4.8469,231645.48085657,4.765,4.8816,4.6117,4.7791,43143.27119434,,,,,
2025-02-10 04:00:00,,,,,,4.7792,4.8367,4.7397,4.8201,13717.86792642,,,,,
2025-02-10 08:00:00,,,,,,4.8163,4.8825,4.7988,4.8506,47853.37435824,,,,,
2025-02-10 12:00:00,,,,,,4.85,4.9186,4.7744,4.8394,56913.1383715,,,,,
2025-02-10 16:00:00,,,,,,4.8366,4.9112,4.8257,4.8616,38636.43919847,,,,,
2025-02-10 20:00:00,,,,,,4.8526,4.8848,4.8199,4.8469,31381.3898076,,,,,
2025-02-11 00:00:00,4.8486,5.2059,4.7507,4.8083,371341.91538913,4.8486,4.9863,4.8434,4.9863,36351.91160461,,,,,
2025-02-11 04:00:00,,,,,,4.9869,5.2059,4.9735,5.1463,119078.07006451,,,,,
2025-02-11 08:00:00,,,,,,5.138,5.1792,5.0343,5.0827,46518.29761704,,,,,
2025-02-11 12:00:00,,,,,,5.0895,5.101,4.8912,4.9674,50701.10147163,,,,,
2025-02-11 16:00:00,,,,,,4.9745,5.0015,4.7507,4.7759,77125.18731099,,,,,
2025-02-11 20:00:00,,,,,,4.7587,4.8741,4.7586,4.8083,41567.34732035,,,,,
2025-02-12 00:00:00,4.8094,5.3248,4.7577,5.2251,565490.58977857,4.8094,4.861,4.7904,4.82,12730.88303833,,,,,
2025-02-12 04:00:00,,,,,,4.8106,4.8479,4.7792,4.82,17489.53189197,,,,,
2025-02-12 08:00:00,,,,,,4.8244,4.9981,4.8234,4.9606,35284.67863876,,,,,
2025-02-12 12:00:00,,,,,,4.9575,5.2214,4.7577,5.0823,220456.3542535,,,,,
