datetime,timestamp,open,high,low,close,vwap,volume,count
2025-04-05 12:00:00,1743854400.0,120.21,120.25,118.8,119.1,119.5,1819.5529456,406.0
2025-04-05 13:00:00,1743858000.0,119.13,119.23,117.58,117.84,118.26,5781.71084941,540.0
2025-04-05 14:00:00,1743861600.0,117.84,118.41,117.25,118.08,117.79,5916.34322865,513.0
2025-04-05 15:00:00,1743865200.0,118.07,118.07,117.14,117.52,117.37,5417.32541133,495.0
2025-04-05 16:00:00,1743868800.0,117.52,118.19,117.5,117.78,117.78,2994.69338308,381.0
2025-04-05 17:00:00,1743872400.0,117.8,118.46,117.59,117.92,118.03,3259.36625858,334.0
2025-04-05 18:00:00,1743876000.0,117.92,118.95,117.88,118.95,118.3,3420.39447066,425.0
2025-04-05 19:00:00,1743879600.0,118.94,119.27,118.38,118.47,118.99,7307.12203542,378.0
2025-04-05 20:00:00,1743883200.0,118.5,119.35,118.36,119.18,119.16,8333.42159883,435.0
2025-04-05 21:00:00,1743886800.0,119.17,119.36,118.7,118.92,119.06,6924.90297756,326.0
2025-04-05 22:00:00,1743890400.0,118.89,119.45,118.85,119.19,119.22,4436.83200836,317.0
2025-04-05 23:00:00,1743894000.0,119.18,120.49,119.17,120.26,119.97,2832.50255263,356.0
2025-04-06 00:00:00,1743897600.0,120.25,120.47,119.77,120.33,120.19,992.07963865,245.0
2025-04-06 01:00:00,1743901200.0,120.31,121.0,120.12,120.33,120.56,4226.95732434,387.0
2025-04-06 02:00:00,1743904800.0,120.38,120.8,119.75,119.96,120.05,6390.13218289,385.0
2025-04-06 03:00:00,1743908400.0,120.0,120.31,119.32,119.87,119.67,6804.02430281,445.0
2025-04-06 04:00:00,1743912000.0,119.93,120.0,119.5,119.77,119.76,2856.67024358,185.0
2025-04-06 05:00:00,1743915600.0,119.8,120.41,119.7,120.26,119.92,607.60195732,171.0
2025-04-06 06:00:00,1743919200.0,120.25,120.5,119.32,119.32,119.83,693.38549445,166.0
2025-04-06 07:00:00,1743922800.0,119.33,119.42,118.84,119.14,119.07,1741.48473316,260.0
2025-04-06 08:00:00,1743926400.0,119.15,119.49,118.52,119.49,119.08,2656.94464092,287.0
2025-04-06 09:00:00,1743930000.0,119.48,120.02,119.25,119.68,119.77,2313.93678332,217.0
2025-04-06 10:00:00,1743933600.0,119.68,119.68,118.64,119.05,118.94,14549.04409036,565.0
2025-04-06 11:00:00,1743937200.0,119.05,119.05,118.09,118.5,118.48,18742.53495358,719.0
2025-04-06 12:00:00,1743940800.0,118.5,118.69,116.13,116.34,117.25,158458.77485803,1780.0
2025-04-06 13:00:00,1743944400.0,116.34,116.34,114.34,114.61,115.71,71120.74070787,1487.0
2025-04-06 14:00:00,1743948000.0,114.62,115.72,114.27,115.67,115.02,14914.79165128,857.0
2025-04-06 15:00:00,1743951600.0,115.63,115.8,114.85,115.0,115.03,5274.85845978,503.0
2025-04-06 16:00:00,1743955200.0,115.01,115.18,113.69,114.0,114.46,27065.12469021,1110.0
2025-04-06 17:00:00,1743958800.0,113.9,114.25,110.44,111.35,111.92,61140.22287397,2674.0
2025-04-06 18:00:00,1743962400.0,111.29,111.37,107.22,107.55,108.98,115491.9641392,4822.0
2025-04-06 19:00:00,1743966000.0,107.6,108.49,106.17,108.07,107.61,49607.95123021,2523.0
2025-04-06 20:00:00,1743969600.0,108.08,108.4,105.48,106.46,107.11,14564.34071538,1476.0
2025-04-06 21:00:00,1743973200.0,106.44,107.7,106.23,106.86,107.15,12002.05288537,897.0
2025-04-06 22:00:00,1743976800.0,106.88,108.18,105.69,105.9,106.57,26033.67580014,1537.0
2025-04-06 23:00:00,1743980400.0,105.85,106.38,103.74,105.85,105.29,39815.35788004,2117.0
2025-04-07 00:00:00,1743984000.0,105.85,106.15,103.2,104.68,104.42,34663.00586148,1501.0
2025-04-07 01:00:00,1743987600.0,104.72,107.69,104.72,107.43,106.74,12089.91825003,1196.0
2025-04-07 02:00:00,1743991200.0,107.41,107.49,105.39,105.82,106.4,8476.98998066,728.0
2025-04-07 03:00:00,1743994800.0,105.86,106.03,102.11,103.27,103.49,17215.04060281,1499.0
2025-04-07 04:00:00,1743998400.0,103.2,103.63,101.54,102.56,102.39,34330.51507954,1556.0
2025-04-07 05:00:00,1744002000.0,102.51,102.98,101.11,101.78,101.95,38887.72325663,1281.0
2025-04-07 06:00:00,1744005600.0,101.85,102.56,95.17,97.03,98.41,103019.6741286,5395.0
2025-04-07 07:00:00,1744009200.0,97.17,98.73,96.95,97.1,97.67,38762.88498408,1847.0
2025-04-07 08:00:00,1744012800.0,97.04,101.52,96.9,100.41,100.25,30516.3746722,1661.0
2025-04-07 09:00:00,1744016400.0,100.38,101.65,99.07,100.27,100.08,23185.79338864,1017.0
2025-04-07 10:00:00,1744020000.0,100.29,102.59,100.25,100.39,101.44,15647.86273942,1050.0
2025-04-07 11:00:00,1744023600.0,100.27,101.03,99.24,100.23,100.04,14797.548152,879.0
2025-04-07 12:00:00,1744027200.0,100.29,103.12,99.72,102.91,101.21,17995.4654564,1019.0
2025-04-07 13:00:00,1744030800.0,102.91,107.18,100.74,106.69,103.17,52806.44038621,2519.0
2025-04-07 14:00:00,1744034400.0,106.53,112.9,104.62,107.45,107.57,79502.92688592,4083.0
2025-04-07 15:00:00,1744038000.0,107.34,107.97,103.8,106.63,106.08,35107.81725598,1560.0
2025-04-07 16:00:00,1744041600.0,106.61,106.62,103.52,103.84,105.28,17066.9482434,975.0
2025-04-07 17:00:00,1744045200.0,103.8,107.83,103.8,107.61,106.42,31324.40373304,1423.0
2025-04-07 18:00:00,1744048800.0,107.63,107.63,105.87,105.91,106.87,19383.84870906,829.0
2025-04-07 19:00:00,1744052400.0,105.93,106.94,105.23,105.71,105.91,8943.43270452,656.0
2025-04-07 20:00:00,1744056000.0,105.76,107.92,105.76,107.28,106.96,6785.86018323,671.0
2025-04-07 21:00:00,1744059600.0,107.35,108.6,106.58,107.85,107.63,6720.44956515,642.0
2025-04-07 22:00:00,1744063200.0,107.87,109.21,107.58,108.62,108.7,7601.87508696,604.0
2025-04-07 23:00:00,1744066800.0,108.63,108.68,106.64,106.89,108.07,19386.20281209,736.0
2025-04-08 00:00:00,1744070400.0,106.93,107.63,106.64,106.99,107.17,9826.37353786,514.0
2025-04-08 01:00:00,1744074000.0,106.99,111.26,106.65,111.01,110.26,32697.86967254,1208.0
2025-04-08 02:00:00,1744077600.0,111.02,112.48,110.7,111.3,111.47,19144.08731221,844.0
2025-04-08 03:00:00,1744081200.0,111.27,111.72,110.47,111.28,111.02,19072.56129742,659.0
2025-04-08 04:00:00,1744084800.0,111.28,112.07,111.11,111.62,111.63,14192.03418708,560.0
2025-04-08 05:00:00,1744088400.0,111.68,111.85,110.15,110.53,110.55,5529.4397794,431.0
2025-04-08 06:00:00,1744092000.0,110.53,110.53,108.6,108.61,109.14,16007.64162479,799.0
2025-04-08 07:00:00,1744095600.0,108.59,109.08,108.0,108.68,108.4,6492.49398951,371.0
2025-04-08 08:00:00,1744099200.0,108.66,108.7,107.11,108.09,107.55,10046.0401044,701.0
2025-04-08 09:00:00,1744102800.0,108.09,108.89,107.87,108.4,108.32,6454.11334962,445.0
2025-04-08 10:00:00,1744106400.0,108.4,109.6,108.25,108.81,109.01,5848.13004625,447.0
2025-04-08 11:00:00,1744110000.0,108.8,111.74,108.71,111.55,110.73,9527.06485284,720.0
2025-04-08 12:00:00,1744113600.0,111.65,111.84,109.49,109.97,110.3,19888.58519395,1072.0
2025-04-08 13:00:00,1744117200.0,109.97,112.08,109.55,110.24,110.65,20684.22797365,1014.0
2025-04-08 14:00:00,1744120800.0,110.1,111.13,107.61,107.85,109.97,16845.69425458,1049.0
2025-04-08 15:00:00,1744124400.0,107.85,108.46,106.67,107.11,107.64,16997.48431307,1073.0
2025-04-08 16:00:00,1744128000.0,107.16,107.16,103.64,104.22,105.04,33018.89994548,1800.0
2025-04-08 17:00:00,1744131600.0,104.23,105.71,102.88,105.11,103.88,35591.22674353,1413.0
2025-04-08 18:00:00,1744135200.0,105.1,106.84,104.52,105.6,105.57,13301.71527754,1010.0
2025-04-08 19:00:00,1744138800.0,105.73,106.02,103.33,103.93,104.48,9652.84719179,893.0
2025-04-08 20:00:00,1744142400.0,103.91,106.06,103.56,105.86,104.67,8220.50439751,765.0
2025-04-08 21:00:00,1744146000.0,105.91,106.19,105.27,105.82,105.75,7652.89563497,512.0
2025-04-08 22:00:00,1744149600.0,105.79,106.32,104.5,105.44,105.4,7355.29295374,586.0
2025-04-08 23:00:00,1744153200.0,105.39,105.72,104.46,105.38,105.17,4010.88609699,428.0
2025-04-09 00:00:00,1744156800.0,105.31,106.39,104.22,104.59,105.03,36066.98163514,790.0
2025-04-09 01:00:00,1744160400.0,104.62,104.85,101.24,104.07,102.79,30355.42776921,1748.0
2025-04-09 02:00:00,1744164000.0,104.15,105.57,103.39,103.39,104.61,4275.45900436,510.0
2025-04-09 03:00:00,1744167600.0,103.49,103.79,102.61,103.17,103.05,8182.55846607,777.0
2025-04-09 04:00:00,1744171200.0,103.06,105.94,103.03,104.97,104.99,23839.68969525,789.0
2025-04-09 05:00:00,1744174800.0,105.04,105.9,104.91,105.26,105.3,5392.58290534,422.0
2025-04-09 06:00:00,1744178400.0,105.24,106.6,105.24,105.61,105.79,7921.09706439,473.0
2025-04-09 07:00:00,1744182000.0,105.63,107.66,105.62,107.38,107.18,14395.22095582,696.0
2025-04-09 08:00:00,1744185600.0,107.33,108.08,106.6,107.28,107.29,3080.09691984,316.0
2025-04-09 09:00:00,1744189200.0,107.28,107.52,106.07,106.67,106.59,3836.00035721,324.0
2025-04-09 10:00:00,1744192800.0,106.56,107.19,105.96,106.78,106.28,2421.97708402,299.0
2025-04-09 11:00:00,1744196400.0,106.77,106.77,102.73,103.34,103.92,11316.44336686,936.0
2025-04-09 12:00:00,1744200000.0,103.36,104.82,102.32,104.36,103.47,11804.10691112,872.0
2025-04-09 13:00:00,1744203600.0,104.41,106.88,103.96,106.05,105.59,20229.65326935,1017.0
2025-04-09 14:00:00,1744207200.0,105.95,107.31,105.53,105.77,106.37,13730.85453935,725.0
2025-04-09 15:00:00,1744210800.0,105.86,106.96,105.81,106.39,106.54,17833.6984856,580.0
2025-04-09 16:00:00,1744214400.0,106.45,108.24,106.25,108.17,107.28,13315.35252795,720.0
2025-04-09 17:00:00,1744218000.0,108.17,119.67,107.29,119.31,115.67,118328.64570686,3838.0
2025-04-09 18:00:00,1744221600.0,119.51,120.65,117.57,117.6,118.96,59013.22844626,2179.0
2025-04-09 19:00:00,1744225200.0,117.65,119.55,117.57,118.92,118.59,27195.33222494,1191.0
2025-04-09 20:00:00,1744228800.0,118.99,120.1,118.61,120.09,119.03,10120.50034201,857.0
2025-04-09 21:00:00,1744232400.0,120.1,120.43,118.08,119.44,119.35,14572.26661403,831.0
2025-04-09 22:00:00,1744236000.0,119.55,120.28,119.0,119.19,119.44,11703.73893369,828.0
2025-04-09 23:00:00,1744239600.0,119.22,119.43,118.45,119.05,118.82,7095.57352726,498.0
2025-04-10 00:00:00,1744243200.0,119.02,119.2,116.78,117.49,117.47,9061.82178431,657.0
2025-04-10 01:00:00,1744246800.0,117.53,117.91,116.62,116.97,117.14,7057.84443017,355.0
2025-04-10 02:00:00,1744250400.0,117.0,117.53,116.74,116.9,117.18,8886.46245885,413.0
2025-04-10 03:00:00,1744254000.0,116.9,116.9,114.45,115.44,115.91,9728.40265642,705.0
2025-04-10 04:00:00,1744257600.0,115.47,115.84,114.76,115.65,115.4,6947.67168765,312.0
2025-04-10 05:00:00,1744261200.0,115.65,116.45,115.4,116.06,115.93,10481.11100503,456.0
2025-04-10 06:00:00,1744264800.0,116.15,116.89,115.93,116.1,116.51,2380.88820182,263.0
2025-04-10 07:00:00,1744268400.0,116.1,116.54,114.05,114.74,114.62,6473.95092888,519.0
2025-04-10 08:00:00,1744272000.0,114.77,115.12,114.12,114.54,114.61,1293.29610309,225.0
2025-04-10 09:00:00,1744275600.0,114.55,115.14,114.26,114.85,114.78,1813.92545548,257.0
2025-04-10 10:00:00,1744279200.0,114.84,114.84,113.74,114.39,114.14,8878.76299488,647.0
2025-04-10 11:00:00,1744282800.0,114.37,114.46,113.36,113.95,113.97,6692.78399978,488.0
2025-04-10 12:00:00,1744286400.0,113.9,115.68,112.84,113.44,114.02,10128.31986072,750.0
2025-04-10 13:00:00,1744290000.0,113.34,113.73,111.88,112.68,112.71,15252.46291018,912.0
2025-04-10 14:00:00,1744293600.0,112.89,114.41,112.43,112.83,113.3,8249.8210628,725.0
2025-04-10 15:00:00,1744297200.0,112.91,113.0,109.33,109.57,110.61,24367.66359473,1679.0
2025-04-10 16:00:00,1744300800.0,109.57,110.16,108.5,109.32,109.12,46354.23410402,1440.0
2025-04-10 17:00:00,1744304400.0,109.34,110.5,108.29,110.4,109.31,19050.23593626,876.0
2025-04-10 18:00:00,1744308000.0,110.4,111.35,110.06,111.35,110.58,5472.00039502,525.0
2025-04-10 19:00:00,1744311600.0,111.3,111.79,110.73,111.27,111.11,7276.30335076,581.0
2025-04-10 20:00:00,1744315200.0,111.28,112.82,111.26,112.73,111.87,27148.49519691,2326.0
2025-04-10 21:00:00,1744318800.0,112.8,112.81,111.86,112.25,112.42,11932.49657409,1059.0
2025-04-10 22:00:00,1744322400.0,112.25,113.3,112.11,112.67,112.9,14624.74688346,747.0
2025-04-10 23:00:00,1744326000.0,112.67,113.0,112.34,112.79,112.63,3276.12428929,271.0
2025-04-11 00:00:00,1744329600.0,112.77,113.37,112.14,112.19,112.91,6753.63525105,375.0
2025-04-11 01:00:00,1744333200.0,112.19,114.1,112.17,114.1,113.32,5235.91507618,492.0
2025-04-11 02:00:00,1744336800.0,114.1,115.39,113.64,114.33,114.59,3959.83304637,503.0
2025-04-11 03:00:00,1744340400.0,114.34,115.68,114.34,115.33,115.23,3891.04743349,478.0
2025-04-11 04:00:00,1744344000.0,115.34,116.16,115.1,115.42,115.6,7391.86087744,604.0
2025-04-11 05:00:00,1744347600.0,115.44,116.06,114.94,116.01,115.38,8193.4823149,584.0
2025-04-11 06:00:00,1744351200.0,116.04,117.62,116.03,116.88,116.8,10718.54735623,878.0
2025-04-11 07:00:00,1744354800.0,116.84,116.96,116.19,116.42,116.4,2304.10185222,275.0
2025-04-11 08:00:00,1744358400.0,116.54,117.85,115.9,117.5,116.86,3334.48947116,434.0
2025-04-11 09:00:00,1744362000.0,117.51,118.43,116.92,118.13,117.65,3112.22000991,421.0
2025-04-11 10:00:00,1744365600.0,118.14,118.99,117.61,118.56,118.35,5182.09955948,607.0
2025-04-11 11:00:00,1744369200.0,118.59,119.26,117.7,117.86,118.51,9936.93618006,908.0
2025-04-11 12:00:00,1744372800.0,117.9,118.89,117.53,117.7,118.22,9700.6857635,598.0
2025-04-11 13:00:00,1744376400.0,117.8,121.37,117.61,120.5,120.07,45213.60945416,1482.0
2025-04-11 14:00:00,1744380000.0,120.53,120.86,118.52,119.6,119.76,17894.2463819,1012.0
2025-04-11 15:00:00,1744383600.0,119.64,120.2,118.6,119.91,119.25,13113.22145469,883.0
2025-04-11 16:00:00,1744387200.0,119.89,120.5,118.68,119.89,119.98,13805.40861869,867.0
2025-04-11 17:00:00,1744390800.0,119.9,121.89,119.77,121.4,121.31,25372.22296843,1395.0
2025-04-11 18:00:00,1744394400.0,121.44,121.76,119.86,119.91,121.08,10594.02585439,1032.0
2025-04-11 19:00:00,1744398000.0,119.91,120.87,119.88,120.82,120.44,4050.42975817,402.0
2025-04-11 20:00:00,1744401600.0,120.86,121.92,120.58,121.61,121.17,6432.58294242,523.0
2025-04-11 21:00:00,1744405200.0,121.59,122.52,120.93,121.1,121.88,6274.64604509,750.0
2025-04-11 22:00:00,1744408800.0,121.1,121.35,120.69,121.13,121.0,9707.56449062,521.0
2025-04-11 23:00:00,1744412400.0,121.14,121.82,119.95,121.39,120.77,11714.18493435,629.0
2025-04-12 00:00:00,1744416000.0,121.36,122.17,120.84,121.14,121.47,6617.23336029,517.0
2025-04-12 01:00:00,1744419600.0,121.15,121.75,120.69,121.12,121.14,6425.0421875,316.0
2025-04-12 02:00:00,1744423200.0,121.11,121.44,119.4,119.63,120.4,5531.43697688,440.0
2025-04-12 03:00:00,1744426800.0,119.61,120.4,119.57,120.16,120.15,4100.88449885,249.0
2025-04-12 04:00:00,1744430400.0,120.16,123.78,119.76,122.61,120.83,6547.75630338,688.0
2025-04-12 05:00:00,1744434000.0,122.67,122.81,122.09,122.36,122.48,2587.49390929,252.0
